%JahrStadtteil,Bevölkerung Jahr,Bevölkerung Stadtteil,Bevölkerung,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung männlich (%),Bevölkerung weiblich (%),AKFrom,AKTo,AltersKlasse
2009Hagsfeld,2009,Hagsfeld,362,154,208,"0,42541436464088","0,57458563535912",75,84,75-84
2010Hagsfeld,2010,Hagsfeld,370,159,211,"0,42972972972973","0,57027027027027",75,84,75-84
2011Hagsfeld,2011,Hagsfeld,368,160,208,"0,43478260869565","0,56521739130435",75,84,75-84
2012Hagsfeld,2012,Hagsfeld,391,176,215,"0,45012787723785","0,54987212276215",75,84,75-84
2013Hagsfeld,2013,Hagsfeld,402,179,223,"0,4452736318408","0,5547263681592",75,84,75-84
2014Hagsfeld,2014,Hagsfeld,417,185,232,"0,44364508393285","0,55635491606715",75,84,75-84
2015Hagsfeld,2015,Hagsfeld,420,183,237,"0,43571428571429","0,56428571428571",75,84,75-84
2016Hagsfeld,2016,Hagsfeld,439,190,249,"0,43280182232346","0,56719817767654",75,84,75-84
2007Durlach,2007,Durlach,2077,785,1292,"0,37794896485315","0,62205103514685",75,84,75-84
2008Durlach,2008,Durlach,2061,807,1254,"0,39155749636099","0,60844250363901",75,84,75-84
2009Durlach,2009,Durlach,2075,836,1239,"0,40289156626506","0,59710843373494",75,84,75-84
